X,Y,u_x,u_y,,,,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy,Status
0.358066167,3,8.40263E-07,-0.001227924,,,,,,0.438701012,0.313877777,-26.24280096,-49.01245845,0.245953016,Failure
0.364168503,2.296423722,4.35616E-06,-0.001159366,,,,,,0.442450277,0.986217115,-18.73312836,-37.1503986,-0.008825865,Failure
0.364168503,2.296423722,4.35616E-06,-0.001159366,,,,,,0.448343526,0.053087804,-29.09482029,-53.5128181,0.364804818,Failure
0.367533518,0.614705638,6.4203E-06,-0.000444502,,,,,,0.448377582,1.853969463,-8.745209778,-21.35293748,-0.239588284,Failure
0.371208156,1.504718225,8.48994E-06,-0.000917804,,,,,,0.454841485,1.389843269,-14.12936998,-29.87091866,-0.14259078,Failure
0.371208156,1.504718225,8.48994E-06,-0.000917804,,,,,,0.458510097,0.784665652,-20.99809983,-40.72955158,0.068016081,Failure
0.371208156,1.504718225,8.48994E-06,-0.000917804,,,,,,0.459150049,2.105574224,-5.982019,-16.63276763,-0.278418453,Elastic
0.371208156,1.504718225,8.48994E-06,-0.000917804,,,,,,0.459269881,0.834232868,-20.44037462,-39.8483548,0.049594672,Failure
0.371208156,1.504718225,8.48994E-06,-0.000917804,,,,,,0.462793866,0.665644968,-22.3283734,-42.83097984,0.114513791,Failure
0.371208156,1.504718225,8.48994E-06,-0.000917804,,,,,,0.472618906,1.9826735,-7.240875474,-18.97184262,-0.263503949,Failure
0.375819165,2.776116001,1.63895E-06,-0.001220911,,,,,,0.473994795,2.297290293,-4.435161375,-13.04533464,-0.358996299,Elastic
0.375819165,2.776116001,1.63895E-06,-0.001220911,,,,,,0.479511257,2.94390553,0.745920702,-1.01405338,-0.07185136,Elastic
0.379701295,1.147877195,8.9418E-06,-0.000752989,,,,,,0.481834783,0.946809362,-19.16483255,-37.8327007,0.008330808,Failure
0.379701295,1.147877195,8.9418E-06,-0.000752989,,,,,,0.483661714,1.417857023,-13.80107438,-29.35121815,-0.158488417,Failure
0.382201202,0.889250021,8.29766E-06,-0.000612499,,,,,,0.485678696,2.778351143,-0.671712292,-4.049349202,-0.241199315,Elastic
0.382201202,0.889250021,8.29766E-06,-0.000612499,,,,,,0.492726283,1.258041094,-15.62919076,-32.24292025,-0.106788289,Failure
0.38409993,2.553832966,2.89856E-06,-0.00120033,,,,,,0.496560149,0.150921964,-28.00453017,-51.7897808,0.358162976,Failure
0.38409993,2.553832966,2.89856E-06,-0.00120033,,,,,,0.503298231,1.084526488,-17.59925671,-35.35806822,-0.043687978,Failure
0.391936175,1.63869253,8.53874E-06,-0.000970787,,,,,,0.504269881,2.080417205,-6.171074324,-17.08271435,-0.292362194,Elastic
0.391936175,1.63869253,8.53874E-06,-0.000970787,,,,,,0.506309523,1.676545581,-10.80911624,-24.61610233,-0.237591582,Failure
0.39405838,0.210368652,2.80561E-06,-0.000162546,,,,,,0.507226606,0.026049655,-29.36034951,-53.92729931,0.428093126,Failure
